audit_version,audit_group,market_id,asset_symbol,question,treatment_verdict,treatment_action,review_priority,question_structure,required_probability_transform,requires_external_baseline,requires_path_aggregation,standalone_signal_role,current_family,recommended_family,economic_event_group,current_gemini_side,current_gemini_confidence,current_gemini_reason,recommended_polarity_treatment,recommended_probability_treatment,recommended_entry_treatment,recommended_exit_treatment,recommended_weighting,generalizable_edge,overfit_guard,polymarket_rule_summary,polymarket_end_date,polymarket_url,authority_source_url,api_source_url
polymarket-treatment-audit-2026-07-13,Macro,506931,SHY,Annual inflation above 2.2% in September?,Needs redesign,quarantine,High,macro data threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,scheduled macro release,Annual inflation above 2.2% in September,NO bullish,0.9,Lower inflation supports bond prices.,Direction is conditional on the surprise versus consensus and the prevailing inflation/growth regime. The raw high/low outcome is not enough.,Reconstruct the release distribution from adjacent thresholds where available; compare the implied mean/tails with economist consensus and rates-market pricing.,"Use a pre-specified surprise score and probability revision before the official release, not a universal probability-level threshold.","For 8:30 ET releases, daily-data H1 ends at the prior trading close. Preserve revised release calendars point in time.",One release event across all thresholds and mapped assets; cluster CPI/payroll/claims windows and do not count threshold contracts separately.,"A 24/7 implied distribution can reveal belief revisions before scheduled macro releases, especially in tails that point forecasts hide.","Freeze the consensus source, release definition and regime rule before evaluation; report each release family separately.",This is a market about inflation over the 12 month period ending September 2024 before seasonal adjustment as reported by the Bureau of Labor Statistics. This market will resolve to “Yes” if the index increased by more than 2.2 percent over the 12 month period ending September 2024 and “No“ otherwise. The resolution source for this market will be the BLS September 2024 Consumer Price Index report...,2024-10-10T12:00:00Z,https://polymarket.com/event/annual-inflation-above-2pt2-in-september,https://www.bls.gov/bls/news-release/cpi.htm,https://gamma-api.polymarket.com/markets/506931
polymarket-treatment-audit-2026-07-13,Macro,0x03bfc56a309969c605bfacc5ee27105779b02b4054258c7aaab93677f400a199,FXB,Bank of England decreases interest rates by 50+ bps after November 2025 meeting?,Partly correct,quarantine,High,central-bank decision,outcome_distribution_vs_ois,True,True,quarantined_until_transform_available,macro,central-bank outcome distribution,Bank of England decreases interest rates by 50+ bps after November 2025 meeting,NO bullish,0.8,"Rate cuts weaken currency, so NO is bullish for GBP.","A 50+ bp cut is directionally bearish GBP, but the asset reaction depends on the surprise relative to OIS pricing and the information conveyed about the economy.",Use the complete bracket distribution and compare it with OIS/futures; a single tail bracket discards most information.,"Trigger on a distributional shift or cross-market disagreement, not simply P(50+ cut) crossing one level.",End immediately before the official statement timestamp; separate the decision from the press-conference information shock.,One MPC meeting event across all decision brackets and assets.,Decompose policy-path surprise from central-bank information surprise using external rate pricing and post-statement timestamps.,One central-bank rulebook across meetings; no decision-size-specific tuning from this sample.,The summary for the Bank of England's Monetary Policy Committee meeting for November is scheduled to be released on November 6. This market will resolve to the amount of basis points the upper bound of the Bank Rate is changed by versus the level it was prior to the Bank of England's November 2025 meeting. The primary resolution source for this market will be the official website of the Bank of England...,2025-11-06T00:00:00Z,https://polymarket.com/event/bank-of-england-decision-in-november/bank-of-england-decreases-interest-rates-by-50-bps-after-november-2025-meeting,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates,https://gamma-api.polymarket.com/public-search?q=Bank+of+England+decreases+interest+rates+by+50%2B+bps+after+November+2025+meeting%3F
polymarket-treatment-audit-2026-07-13,Macro,0x8cdcfab96a715196868766aed23f54f75ebeec26a7b96402750b9403f8d015c5,TLT,"Fed Derivative: Jan ""25bps cut"" over 20% on December 10?",Exclude from primary,exclude,Critical,prediction-market derivative,excluded_circular_derivative,False,False,excluded,macro,market-microstructure derivative,"Fed Derivative: Jan ""25bps cut"" over 20% on December 10",YES bullish,0.9,Increased rate cut expectations boost long-duration bond prices.,"No independent event polarity. The contract resolves from another Polymarket price, not an economic outcome.","Do not use the derivative contract's own probability as an equity signal. If retained as a secondary diagnostic, use the underlying event market and label it non-independent.",No primary H1 entry. A secondary study may freeze the underlying market probability before the derivative scoring window.,Not a valid economic pre-event endpoint for primary H1.,Remove from the primary opportunity set and from CEM training; do not count it as another geopolitical or macro event.,"Use disagreement between the underlying event probability and external benchmarks as a research diagnostic, not the reflexive derivative itself.","A universal exclusion rule: reject markets whose resolution source is another market price, asset return, index value generated during the target interval, or a scoring window on those values.","This market will resolve to “Yes” if the “Yes” option for '25 bps decrease' in the ""Fed decision in January?"" market (https://polymarket.com/event/fed-decision-in-january?tid=1764799281194) is priced over the listed value between 2:00 PM ET and 5:59 PM ET on Wednesday, December 10, 2025. Otherwise, this market will resolve to “No”. A tie in the number of minutes will resolve to ""No"". The resolution source will be the...",2025-12-10T00:00:00Z,https://polymarket.com/event/fed-derivative-jan-25bps-cut-odds-on-december-10/fed-derivative-jan-25bps-cut-over-20-on-december-10-279,https://polymarket.com/event/fed-decision-in-january?tid=1764799281194,https://gamma-api.polymarket.com/public-search?q=Fed+Derivative%3A+Jan+%2225bps+cut%22+over+20%25+on+December+10%3F
polymarket-treatment-audit-2026-07-13,Macro,0x8cdcfab96a715196868766aed23f54f75ebeec26a7b96402750b9403f8d015c5,XLU,"Fed Derivative: Jan ""25bps cut"" over 20% on December 10?",Exclude from primary,exclude,Critical,prediction-market derivative,excluded_circular_derivative,False,False,excluded,macro,market-microstructure derivative,"Fed Derivative: Jan ""25bps cut"" over 20% on December 10",YES bullish,0.9,Lower interest rates reduce utility borrowing costs and increase dividend attractiveness.,"No independent event polarity. The contract resolves from another Polymarket price, not an economic outcome.","Do not use the derivative contract's own probability as an equity signal. If retained as a secondary diagnostic, use the underlying event market and label it non-independent.",No primary H1 entry. A secondary study may freeze the underlying market probability before the derivative scoring window.,Not a valid economic pre-event endpoint for primary H1.,Remove from the primary opportunity set and from CEM training; do not count it as another geopolitical or macro event.,"Use disagreement between the underlying event probability and external benchmarks as a research diagnostic, not the reflexive derivative itself.","A universal exclusion rule: reject markets whose resolution source is another market price, asset return, index value generated during the target interval, or a scoring window on those values.","This market will resolve to “Yes” if the “Yes” option for '25 bps decrease' in the ""Fed decision in January?"" market (https://polymarket.com/event/fed-decision-in-january?tid=1764799281194) is priced over the listed value between 2:00 PM ET and 5:59 PM ET on Wednesday, December 10, 2025. Otherwise, this market will resolve to “No”. A tie in the number of minutes will resolve to ""No"". The resolution source will be the...",2025-12-10T00:00:00Z,https://polymarket.com/event/fed-derivative-jan-25bps-cut-odds-on-december-10/fed-derivative-jan-25bps-cut-over-20-on-december-10-279,https://polymarket.com/event/fed-decision-in-january?tid=1764799281194,https://gamma-api.polymarket.com/public-search?q=Fed+Derivative%3A+Jan+%2225bps+cut%22+over+20%25+on+December+10%3F
polymarket-treatment-audit-2026-07-13,Macro,0xd8ccb898a005d42d76a97e0e16777495b8e14b2659966ef8ad2e5f065fca1705,HOOD,Robinhood Gold Subscribers above 4.2M in Q1?,Needs redesign,quarantine,High,company KPI threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,earnings-adjacent company KPI,Robinhood Q1 Gold subscribers distribution,YES bullish,0.9,Higher premium subscriber count indicates revenue growth.,Do not make YES automatically bullish. It is bullish only when the threshold is meaningfully above the ex-ante consensus/guidance distribution; an already expected number can be neutral or sell-the-news.,"Combine all sibling thresholds into an implied CDF/expected metric and measure revisions versus consensus, guidance and prior-quarter seasonality.",Enter only when the probability-implied metric meaningfully differs from a timestamped external expectation and the discrepancy survives a pre-specified materiality rule.,Use the exact earnings-release timestamp. For after-close releases the same-day close may be eligible; for pre-open releases the prior close is the endpoint.,One company-quarter-metric event; threshold ladders and dual share classes are not independent observations.,"The edge is the implied metric distribution and its revision, not the binary answer. Threshold ladders such as Robinhood 4.2/4.4M or CrowdStrike 225/250M are especially valuable together.","Use one formula across companies: standardized implied surprise relative to a frozen consensus/guidance value, with no company-specific thresholds.","This market will resolve to “Yes” if Robinhood’s number of Gold Subscribers for the first fiscal quarter of 2026, as reported in its official company earnings materials, is above the listed amount. Otherwise, this market will resolve to “No”. The specified metric will be considered as reported in the company’s official earnings materials. Subsequent revisions will not be considered. If the specified company’s official...",2026-04-28T00:00:00Z,https://polymarket.com/event/robinhood-gold-subscribers-above-in-q1/robinhood-gold-subscribers-above-4pt2m-in-q1,,https://gamma-api.polymarket.com/public-search?q=Robinhood+Gold+Subscribers+above+4.2M+in+Q1%3F
polymarket-treatment-audit-2026-07-13,Macro,0x10b4dd630aaba825e0d10a139ab710b3cb161a725e1d21d72d8830cea8af48a7,HOOD,Robinhood Gold Subscribers above 4.4M in Q1?,Needs redesign,quarantine,High,company KPI threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,earnings-adjacent company KPI,Robinhood Q1 Gold subscribers distribution,YES bullish,0.9,Higher premium subscriber count indicates revenue growth.,Do not make YES automatically bullish. It is bullish only when the threshold is meaningfully above the ex-ante consensus/guidance distribution; an already expected number can be neutral or sell-the-news.,"Combine all sibling thresholds into an implied CDF/expected metric and measure revisions versus consensus, guidance and prior-quarter seasonality.",Enter only when the probability-implied metric meaningfully differs from a timestamped external expectation and the discrepancy survives a pre-specified materiality rule.,Use the exact earnings-release timestamp. For after-close releases the same-day close may be eligible; for pre-open releases the prior close is the endpoint.,One company-quarter-metric event; threshold ladders and dual share classes are not independent observations.,"The edge is the implied metric distribution and its revision, not the binary answer. Threshold ladders such as Robinhood 4.2/4.4M or CrowdStrike 225/250M are especially valuable together.","Use one formula across companies: standardized implied surprise relative to a frozen consensus/guidance value, with no company-specific thresholds.","This market will resolve to “Yes” if Robinhood’s number of Gold Subscribers for the first fiscal quarter of 2026, as reported in its official company earnings materials, is above the listed amount. Otherwise, this market will resolve to “No”. The specified metric will be considered as reported in the company’s official earnings materials. Subsequent revisions will not be considered. If the specified company’s official...",2026-04-28T00:00:00Z,https://polymarket.com/event/robinhood-gold-subscribers-above-in-q1/robinhood-gold-subscribers-above-4pt4m-in-q1,,https://gamma-api.polymarket.com/public-search?q=Robinhood+Gold+Subscribers+above+4.4M+in+Q1%3F
polymarket-treatment-audit-2026-07-13,Macro,505366,SHY,Annual inflation above 2.5% in August?,Needs redesign,quarantine,High,macro data threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,scheduled macro release,US CPI August 2024 release,NO bullish,0.9,Lower inflation supports bond prices.,Direction is conditional on the surprise versus consensus and the prevailing inflation/growth regime. The raw high/low outcome is not enough.,Reconstruct the release distribution from adjacent thresholds where available; compare the implied mean/tails with economist consensus and rates-market pricing.,"Use a pre-specified surprise score and probability revision before the official release, not a universal probability-level threshold.","For 8:30 ET releases, daily-data H1 ends at the prior trading close. Preserve revised release calendars point in time.",One release event across all thresholds and mapped assets; cluster CPI/payroll/claims windows and do not count threshold contracts separately.,"A 24/7 implied distribution can reveal belief revisions before scheduled macro releases, especially in tails that point forecasts hide.","Freeze the consensus source, release definition and regime rule before evaluation; report each release family separately.",This is a market about inflation over the 12 month period ending August 2024 before seasonal adjustment as reported by the Bureau of Labor Statistics. This market will resolve to “Yes” if the index increased by more than 2.5 percent over the 12 month period ending August 2024 and “No“ otherwise. The resolution source for this market will be the BLS August 2024 Consumer Price Index report...,2024-09-11T12:00:00Z,https://polymarket.com/event/annual-inflation-above-2pt5-in-august,https://www.bls.gov/bls/news-release/cpi.htm,https://gamma-api.polymarket.com/markets/505366
polymarket-treatment-audit-2026-07-13,Macro,505116,SHY,US inflation >0.1% from July to August 2024?,Needs redesign,quarantine,High,macro data threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,scheduled macro release,US CPI August 2024 release,NO bullish,0.9,"Lower inflation reduces pressure for higher interest rates, benefiting bonds.",Direction is conditional on the surprise versus consensus and the prevailing inflation/growth regime. The raw high/low outcome is not enough.,Reconstruct the release distribution from adjacent thresholds where available; compare the implied mean/tails with economist consensus and rates-market pricing.,"Use a pre-specified surprise score and probability revision before the official release, not a universal probability-level threshold.","For 8:30 ET releases, daily-data H1 ends at the prior trading close. Preserve revised release calendars point in time.",One release event across all thresholds and mapped assets; cluster CPI/payroll/claims windows and do not count threshold contracts separately.,"A 24/7 implied distribution can reveal belief revisions before scheduled macro releases, especially in tails that point forecasts hide.","Freeze the consensus source, release definition and regime rule before evaluation; report each release family separately.","This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U), from July to August 2024. Inflation is measured by a change in Consumer Price Index for All Urban Consumers (CPI-U) on a seasonally adjusted basis, reported by the U.S. Bureau of Labor Statistics. This market will resolve to “Yes” if the index increased by more than 0.1 percent (on a seasonally adjusted basis) from July...",2024-09-11T12:00:00Z,https://polymarket.com/event/us-inflation-0pt1-from-july-to-august-2024,https://www.bls.gov/bls/news-release/cpi.htm,https://gamma-api.polymarket.com/markets/505116
polymarket-treatment-audit-2026-07-13,Macro,504270,SHY,US inflation >0.1% from June to July 2024?,Needs redesign,quarantine,High,macro data threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,scheduled macro release,US CPI July 2024 release,NO bullish,0.9,"Lower inflation reduces pressure for higher interest rates, benefiting bonds.",Direction is conditional on the surprise versus consensus and the prevailing inflation/growth regime. The raw high/low outcome is not enough.,Reconstruct the release distribution from adjacent thresholds where available; compare the implied mean/tails with economist consensus and rates-market pricing.,"Use a pre-specified surprise score and probability revision before the official release, not a universal probability-level threshold.","For 8:30 ET releases, daily-data H1 ends at the prior trading close. Preserve revised release calendars point in time.",One release event across all thresholds and mapped assets; cluster CPI/payroll/claims windows and do not count threshold contracts separately.,"A 24/7 implied distribution can reveal belief revisions before scheduled macro releases, especially in tails that point forecasts hide.","Freeze the consensus source, release definition and regime rule before evaluation; report each release family separately.","This is a market on a month-to-month inflation, as measured by the Bureau of Labor Statistics (CPI-U), from June to July 2024. Inflation is measured by a change in Consumer Price Index for All Urban Consumers (CPI-U) on a seasonally adjusted basis, reported by the U.S. Bureau of Labor Statistics. This market will resolve to “Yes” if the index increased by more than 0.1 percent (on a seasonally adjusted basis) from June to...",2024-08-14T12:00:00Z,https://polymarket.com/event/us-inflation-0pt1-from-june-to-july-2024,https://www.bls.gov/bls/news-release/cpi.htm,https://gamma-api.polymarket.com/markets/504270
polymarket-treatment-audit-2026-07-13,Macro,0xdc94cd7ba364829f78c56484761e22eccb57d982dbef5b9de852666187a80aa3,MPC,Will average US gas price be $3.14 or less on February 21?,Partly correct,quarantine,High,observable commodity-price threshold,threshold_distribution_vs_consensus,True,True,quarantined_until_transform_available,macro,observable commodity-price path,US retail gasoline February 2025 path,NO bullish,0.9,Lower gas prices are bearish for refiner revenue.,"Low retail gasoline is not uniformly bullish or bearish for refiners; margins, crude inputs, seasonality and demand matter. UGA has the cleanest direct sign.",Treat adjacent dates as a path/term structure and compare it with futures and seasonality; do not treat each date as an independent event.,Require a discrepancy between the implied retail-price path and an external market/seasonal benchmark.,End before the exact AAA observation/publication timestamp used by the rules.,"One gasoline-price trajectory, with asset-specific exposure applied after event identification.",Extract the market-implied slope of retail gasoline prices and compare it with wholesale gasoline/crude spreads.,A universal basis/seasonality model; no hand-tuned sign for individual refiners.,"This market will resolve according to the average US regular gas price according to AAA on February 21, 2025. This market will resolve based on the first two digits of the reported price (e.g., if the price is reported as $3.157, this market will resolve to the ""$3.15"" bracket). The resolution source for this market will be information from the American Automotive Association (AAA), presently found here:...",2025-02-21T12:00:00Z,https://polymarket.com/event/average-us-gas-prices-on-february-21/will-average-us-gas-price-be-3pt14-or-less-on-february-21,https://gasprices.aaa.com/,https://gamma-api.polymarket.com/public-search?q=Will+average+US+gas+price+be+%243.14+or+less+on+February+21%3F
